Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:13:36;ALLOW;TCP;10.25.34.122;193.170.234.138;49727;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:36;ALLOW;TCP;10.25.34.122;193.170.234.138;49728;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:36;ALLOW;TCP;10.25.34.122;193.170.234.138;49729;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:36;ALLOW;TCP;10.25.34.122;193.170.234.138;49730;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:36;ALLOW;TCP;10.25.34.122;193.170.234.138;49731;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:36;DROP;UDP;::1;ff02::c;50376;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:36;DROP;UDP;10.25.34.122;239.255.255.250;50377;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:36;DROP;UDP;127.0.0.1;239.255.255.250;50378;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:36;DROP;UDP;::1;ff02::c;50376;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:36;DROP;UDP;10.25.34.122;239.255.255.250;50377;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:36;DROP;UDP;127.0.0.1;239.255.255.250;50378;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:36;DROP;UDP;10.25.34.122;239.255.255.250;50377;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:36;DROP;UDP;127.0.0.1;239.255.255.250;50378;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:37;DROP;UDP;10.25.34.122;239.255.255.250;50377;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:37;DROP;UDP;127.0.0.1;239.255.255.250;50378;1900;0;-;-;-;-;-;-;-;SEND
