Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:14:03;ALLOW;UDP;10.25.34.163;193.170.234.182;58497;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:03;ALLOW;UDP;10.25.34.163;13.69.239.74;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:03;ALLOW;TCP;10.25.34.163;13.69.239.74;49762;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:03;ALLOW;UDP;10.25.34.163;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:14:04;DROP;UDP;::1;ff02::c;60256;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:04;DROP;UDP;10.25.34.163;239.255.255.250;60257;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:04;DROP;UDP;127.0.0.1;239.255.255.250;60258;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:04;DROP;UDP;::1;ff02::c;60256;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:04;DROP;UDP;10.25.34.163;239.255.255.250;60257;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:04;DROP;UDP;127.0.0.1;239.255.255.250;60258;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:04;DROP;UDP;10.25.34.163;239.255.255.250;60257;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:04;DROP;UDP;127.0.0.1;239.255.255.250;60258;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:04;ALLOW;TCP;10.25.34.163;193.170.234.138;49763;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:04;ALLOW;TCP;10.25.34.163;193.170.234.138;49764;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:04;ALLOW;TCP;10.25.34.163;193.170.234.138;49765;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:04;ALLOW;TCP;10.25.34.163;193.170.234.138;49766;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:04;ALLOW;TCP;10.25.34.163;193.170.234.138;49767;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:05;DROP;UDP;10.25.34.163;239.255.255.250;60257;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:05;DROP;UDP;127.0.0.1;239.255.255.250;60258;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;::1;ff02::c;58500;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;10.25.34.163;239.255.255.250;58499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;127.0.0.1;239.255.255.250;58499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;::1;ff02::c;58500;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;10.25.34.163;239.255.255.250;58499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;127.0.0.1;239.255.255.250;58499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;::1;ff02::c;58500;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;ALLOW;UDP;10.25.34.163;193.170.234.138;58501;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;ALLOW;UDP;10.25.34.163;193.170.234.138;58502;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;ALLOW;TCP;10.25.34.163;193.170.234.138;49768;49670;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:06;ALLOW;TCP;10.25.34.163;193.170.234.138;49769;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;10.25.34.163;239.255.255.250;58499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;DROP;UDP;127.0.0.1;239.255.255.250;58499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:06;ALLOW;TCP;10.25.34.163;193.170.234.138;49770;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:07;DROP;UDP;::1;ff02::c;58500;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:07;ALLOW;TCP;10.25.34.163;193.170.234.138;49771;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:07;ALLOW;TCP;10.25.34.163;193.170.234.138;49772;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:07;ALLOW;TCP;10.25.34.163;193.170.234.138;49773;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:07;ALLOW;TCP;10.25.34.163;193.170.234.138;49774;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:07;ALLOW;TCP;10.25.34.163;193.170.234.138;49775;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:07;DROP;UDP;10.25.34.163;239.255.255.250;58499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:07;DROP;UDP;127.0.0.1;239.255.255.250;58499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:07;ALLOW;UDP;10.25.34.163;193.170.234.182;52046;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:07;ALLOW;UDP;10.25.34.163;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:07;ALLOW;TCP;10.25.34.163;51.104.164.114;49776;443;0;-;0;0;0;-;-;-;SEND
