Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:13:40;ALLOW;TCP;10.25.34.123;193.170.234.138;49719;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:40;ALLOW;TCP;10.25.34.123;193.170.234.138;49720;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:40;ALLOW;TCP;10.25.34.123;193.170.234.138;49721;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:40;ALLOW;TCP;10.25.34.123;193.170.234.138;49722;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:40;ALLOW;TCP;10.25.34.123;193.170.234.138;49723;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;::1;ff02::c;50362;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;10.25.34.123;239.255.255.250;50363;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;127.0.0.1;239.255.255.250;50364;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;::1;ff02::c;50362;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;10.25.34.123;239.255.255.250;50363;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;127.0.0.1;239.255.255.250;50364;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;10.25.34.123;239.255.255.250;50363;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;127.0.0.1;239.255.255.250;50364;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;10.25.34.123;239.255.255.250;50363;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;127.0.0.1;239.255.255.250;50364;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;UDP;10.25.34.123;193.170.234.138;63496;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;UDP;10.25.34.123;193.170.234.138;63497;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.123;193.170.234.138;49724;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.123;193.170.234.138;49725;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;DROP;UDP;::1;ff02::c;63499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;DROP;UDP;10.25.34.123;239.255.255.250;63498;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;DROP;UDP;127.0.0.1;239.255.255.250;63498;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.123;193.170.234.138;49726;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;DROP;UDP;10.25.34.123;239.255.255.250;63498;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;DROP;UDP;127.0.0.1;239.255.255.250;63498;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;DROP;UDP;::1;ff02::c;63499;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;DROP;UDP;10.25.34.123;239.255.255.250;63498;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;DROP;UDP;127.0.0.1;239.255.255.250;63498;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.123;193.170.234.138;49727;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.123;193.170.234.138;49728;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.123;193.170.234.138;49729;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.123;193.170.234.138;49730;389;0;-;0;0;0;-;-;-;SEND
