Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:14:24;ALLOW;TCP;10.25.34.145;193.170.234.138;49779;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;TCP;10.25.34.145;193.170.234.138;49780;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;TCP;10.25.34.145;193.170.234.138;49781;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;TCP;10.25.34.145;193.170.234.138;49782;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;ALLOW;TCP;10.25.34.145;193.170.234.138;49783;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:24;DROP;UDP;10.25.34.145;239.255.255.250;57813;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:24;DROP;UDP;127.0.0.1;239.255.255.250;57814;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;::1;ff02::c;53624;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;10.25.34.145;239.255.255.250;53623;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;127.0.0.1;239.255.255.250;53623;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;::1;ff02::c;53624;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;10.25.34.145;239.255.255.250;53623;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;127.0.0.1;239.255.255.250;53623;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;::1;ff02::c;53624;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;10.25.34.145;239.255.255.250;53623;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:25;DROP;UDP;127.0.0.1;239.255.255.250;53623;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;UDP;10.25.34.145;193.170.234.138;53625;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;UDP;10.25.34.145;193.170.234.138;53626;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;TCP;10.25.34.145;193.170.234.138;49784;49670;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:26;DROP;UDP;::1;ff02::c;53624;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;TCP;10.25.34.145;193.170.234.138;49785;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;TCP;10.25.34.145;193.170.234.138;49786;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;TCP;10.25.34.145;193.170.234.138;49787;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:26;DROP;UDP;10.25.34.145;239.255.255.250;53623;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:26;DROP;UDP;127.0.0.1;239.255.255.250;53623;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;TCP;10.25.34.145;193.170.234.138;49788;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;TCP;10.25.34.145;193.170.234.138;49789;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;TCP;10.25.34.145;193.170.234.138;49790;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:26;ALLOW;TCP;10.25.34.145;193.170.234.138;49791;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:27;ALLOW;UDP;10.25.34.145;193.170.234.182;53907;53;0;-;-;-;-;-;-;-;SEND
