Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:15:01;ALLOW;TCP;10.25.34.155;51.104.136.2;49718;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:01;ALLOW;TCP;10.25.34.155;51.104.136.2;49721;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:01;DROP;UDP;10.25.34.155;239.255.255.250;59209;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:01;DROP;UDP;127.0.0.1;239.255.255.250;59210;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:02;ALLOW;UDP;10.25.34.155;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:15:02;DROP;UDP;::1;ff02::c;59208;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:02;DROP;UDP;10.25.34.155;239.255.255.250;59209;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:02;DROP;UDP;127.0.0.1;239.255.255.250;59210;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:02;DROP;UDP;::1;ff02::c;59208;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:02;DROP;UDP;10.25.34.155;239.255.255.250;59209;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:02;DROP;UDP;127.0.0.1;239.255.255.250;59210;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:02;DROP;UDP;10.25.34.155;239.255.255.250;59209;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:02;DROP;UDP;127.0.0.1;239.255.255.250;59210;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:03;ALLOW;UDP;10.25.34.155;193.170.234.182;56244;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:03;ALLOW;UDP;10.25.34.155;20.189.173.15;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:03;ALLOW;TCP;10.25.34.155;20.189.173.15;49722;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:03;ALLOW;TCP;10.25.34.155;193.170.234.138;49723;389;0;-;0;0;0;-;-;-;SEND
