Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:13:30;ALLOW;UDP;10.25.34.131;193.170.234.182;49531;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;UDP;10.25.34.131;104.46.162.224;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;TCP;10.25.34.131;104.46.162.224;49735;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:30;DROP;UDP;10.25.34.131;239.255.255.250;53025;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:30;DROP;UDP;127.0.0.1;239.255.255.250;53026;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;UDP;10.25.34.131;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:31;DROP;UDP;::1;ff02::c;53024;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:31;DROP;UDP;10.25.34.131;239.255.255.250;53025;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:31;DROP;UDP;127.0.0.1;239.255.255.250;53026;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:31;DROP;UDP;::1;ff02::c;53024;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:31;DROP;UDP;10.25.34.131;239.255.255.250;53025;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:31;DROP;UDP;127.0.0.1;239.255.255.250;53026;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:31;DROP;UDP;10.25.34.131;239.255.255.250;53025;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:31;DROP;UDP;127.0.0.1;239.255.255.250;53026;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:32;ALLOW;TCP;10.25.34.131;193.170.234.138;49736;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:32;ALLOW;TCP;10.25.34.131;193.170.234.138;49737;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:32;ALLOW;TCP;10.25.34.131;193.170.234.138;49738;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:32;ALLOW;TCP;10.25.34.131;193.170.234.138;49739;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:32;ALLOW;TCP;10.25.34.131;193.170.234.138;49740;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:33;DROP;UDP;10.25.34.131;239.255.255.250;53025;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:33;DROP;UDP;127.0.0.1;239.255.255.250;53026;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;UDP;10.25.34.131;193.170.234.138;49533;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;UDP;10.25.34.131;193.170.234.138;49534;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;::1;ff02::c;49536;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;10.25.34.131;239.255.255.250;49535;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;127.0.0.1;239.255.255.250;49535;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;TCP;10.25.34.131;193.170.234.138;49741;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;TCP;10.25.34.131;193.170.234.138;49742;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;TCP;10.25.34.131;193.170.234.138;49743;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;10.25.34.131;239.255.255.250;49535;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;127.0.0.1;239.255.255.250;49535;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;::1;ff02::c;49536;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;10.25.34.131;239.255.255.250;49535;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;127.0.0.1;239.255.255.250;49535;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;TCP;10.25.34.131;193.170.234.138;49744;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;TCP;10.25.34.131;193.170.234.138;49745;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;TCP;10.25.34.131;193.170.234.138;49746;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:34;DROP;UDP;::1;ff02::c;49536;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:34;ALLOW;TCP;10.25.34.131;193.170.234.138;49747;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;DROP;UDP;10.25.34.131;239.255.255.250;49535;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;DROP;UDP;127.0.0.1;239.255.255.250;49535;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;193.170.234.182;49319;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;51.104.164.114;49748;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49749;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49750;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;193.170.234.182;55725;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49751;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;92.123.24.119;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;92.123.24.119;49752;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49753;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;193.170.234.182;50049;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;92.123.24.119;49754;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49755;445;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49756;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49757;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;193.170.234.182;52022;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;92.123.24.119;49758;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49759;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;193.170.234.138;123;123;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;193.170.234.182;62020;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.198;49761;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.198;49760;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.198;49762;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;UDP;10.25.34.131;193.170.234.198;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;DROP;UDP;::1;ff02::c;49536;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49763;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:35;ALLOW;TCP;10.25.34.131;193.170.234.138;49764;389;0;-;0;0;0;-;-;-;SEND
