Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:13:16;ALLOW;TCP;10.25.34.125;104.46.162.224;49742;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:16;DROP;UDP;::1;ff02::c;64471;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:17;ALLOW;UDP;10.25.34.125;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:18;DROP;UDP;10.25.34.125;239.255.255.250;64468;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:18;DROP;UDP;127.0.0.1;239.255.255.250;64469;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:18;ALLOW;TCP;10.25.34.125;193.170.234.138;49744;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:18;ALLOW;TCP;10.25.34.125;193.170.234.138;49745;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:18;ALLOW;TCP;10.25.34.125;193.170.234.138;49746;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:18;ALLOW;TCP;10.25.34.125;193.170.234.138;49747;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:18;ALLOW;TCP;10.25.34.125;193.170.234.138;49748;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:20;ALLOW;UDP;10.25.34.125;193.170.234.138;49435;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:20;ALLOW;UDP;10.25.34.125;10.25.34.255;138;138;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:20;ALLOW;UDP;10.25.34.125;193.170.234.138;49436;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:20;ALLOW;TCP;10.25.34.125;193.170.234.138;49749;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;TCP;10.25.34.125;193.170.234.138;49750;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;TCP;10.25.34.125;193.170.234.138;49751;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:21;DROP;UDP;10.25.34.125;239.255.255.250;64468;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:21;DROP;UDP;127.0.0.1;239.255.255.250;64469;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;TCP;10.25.34.125;193.170.234.138;49752;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;TCP;10.25.34.125;193.170.234.138;49753;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;TCP;10.25.34.125;193.170.234.138;49754;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;TCP;10.25.34.125;193.170.234.138;49755;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;UDP;10.25.34.125;193.170.234.182;65399;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;UDP;10.25.34.125;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;TCP;10.25.34.125;51.104.164.114;49756;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:21;ALLOW;TCP;10.25.34.125;193.170.234.138;49757;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;UDP;10.25.34.125;193.170.234.182;53317;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;TCP;10.25.34.125;193.170.234.138;49758;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;UDP;10.25.34.125;92.123.24.119;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;TCP;10.25.34.125;92.123.24.119;49759;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;TCP;10.25.34.125;193.170.234.138;49760;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;UDP;10.25.34.125;193.170.234.182;62395;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;TCP;10.25.34.125;92.123.24.119;49761;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;TCP;10.25.34.125;193.170.234.138;49762;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;TCP;10.25.34.125;193.170.234.138;49763;445;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:22;ALLOW;TCP;10.25.34.125;193.170.234.138;49764;88;0;-;0;0;0;-;-;-;SEND
