Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:14:51;DROP;UDP;10.25.34.151;239.255.255.250;56746;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:51;DROP;UDP;127.0.0.1;239.255.255.250;56747;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:52;ALLOW;UDP;10.25.34.151;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:14:53;DROP;UDP;::1;ff02::c;56745;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:53;DROP;UDP;10.25.34.151;239.255.255.250;56746;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:53;DROP;UDP;127.0.0.1;239.255.255.250;56747;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:53;DROP;UDP;::1;ff02::c;56745;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:53;DROP;UDP;10.25.34.151;239.255.255.250;56746;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:53;DROP;UDP;127.0.0.1;239.255.255.250;56747;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:53;DROP;UDP;10.25.34.151;239.255.255.250;56746;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:53;DROP;UDP;127.0.0.1;239.255.255.250;56747;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:53;ALLOW;TCP;10.25.34.151;193.170.234.138;49727;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:53;ALLOW;TCP;10.25.34.151;193.170.234.138;49728;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:53;ALLOW;TCP;10.25.34.151;193.170.234.138;49729;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:53;ALLOW;TCP;10.25.34.151;193.170.234.138;49730;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:53;ALLOW;TCP;10.25.34.151;193.170.234.138;49731;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:54;DROP;UDP;10.25.34.151;239.255.255.250;56746;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:54;DROP;UDP;127.0.0.1;239.255.255.250;56747;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;ALLOW;UDP;10.25.34.151;193.170.234.138;59903;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;ALLOW;UDP;10.25.34.151;193.170.234.138;59904;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;::1;ff02::c;59906;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;10.25.34.151;239.255.255.250;59905;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;127.0.0.1;239.255.255.250;59905;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;ALLOW;TCP;10.25.34.151;193.170.234.138;49732;49670;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:55;ALLOW;TCP;10.25.34.151;193.170.234.138;49733;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:55;ALLOW;TCP;10.25.34.151;193.170.234.138;49734;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;10.25.34.151;239.255.255.250;59905;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;127.0.0.1;239.255.255.250;59905;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;::1;ff02::c;59906;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;10.25.34.151;239.255.255.250;59905;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;127.0.0.1;239.255.255.250;59905;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:55;ALLOW;TCP;10.25.34.151;193.170.234.138;49735;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:55;DROP;UDP;::1;ff02::c;59906;3702;0;-;-;-;-;-;-;-;SEND
