Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:14:10;DROP;UDP;10.25.34.165;239.255.255.250;64082;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:10;DROP;UDP;127.0.0.1;239.255.255.250;64083;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:10;ALLOW;UDP;10.25.34.165;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:14:12;ALLOW;TCP;10.25.34.165;193.170.234.138;49727;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:12;ALLOW;TCP;10.25.34.165;193.170.234.138;49728;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:12;ALLOW;TCP;10.25.34.165;193.170.234.138;49729;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:12;ALLOW;TCP;10.25.34.165;193.170.234.138;49730;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:12;ALLOW;TCP;10.25.34.165;193.170.234.138;49731;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:12;DROP;UDP;::1;ff02::c;64081;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:12;DROP;UDP;10.25.34.165;239.255.255.250;64082;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:12;DROP;UDP;127.0.0.1;239.255.255.250;64083;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:12;DROP;UDP;::1;ff02::c;64081;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:12;DROP;UDP;10.25.34.165;239.255.255.250;64082;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:12;DROP;UDP;127.0.0.1;239.255.255.250;64083;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:12;DROP;UDP;10.25.34.165;239.255.255.250;64082;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:12;DROP;UDP;127.0.0.1;239.255.255.250;64083;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:12;ALLOW;UDP;10.25.34.145;224.0.0.252;55441;5355;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:14:13;DROP;UDP;10.25.34.165;239.255.255.250;64082;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:13;DROP;UDP;127.0.0.1;239.255.255.250;64083;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;UDP;10.25.34.165;193.170.234.138;63379;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;UDP;10.25.34.165;193.170.234.138;63380;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49732;49670;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49733;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;::1;ff02::c;63382;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;10.25.34.165;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;127.0.0.1;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49734;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49735;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;10.25.34.165;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;127.0.0.1;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;::1;ff02::c;63382;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;10.25.34.165;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;127.0.0.1;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49736;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49737;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49738;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49739;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;DROP;UDP;::1;ff02::c;63382;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;UDP;10.25.34.165;193.170.234.182;58867;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;UDP;10.25.34.165;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;51.104.164.114;49740;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49741;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49742;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:14;ALLOW;TCP;10.25.34.165;193.170.234.138;49743;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49744;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49745;445;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49746;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49747;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;DROP;UDP;10.25.34.165;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:15;DROP;UDP;127.0.0.1;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;UDP;10.25.34.165;193.170.234.182;63252;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;UDP;10.25.34.165;92.123.24.119;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;92.123.24.119;49748;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49749;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;DROP;UDP;::1;ff02::c;63382;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49750;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49751;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;UDP;10.25.34.165;193.170.234.138;123;123;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49752;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49753;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49754;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49755;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:15;ALLOW;TCP;10.25.34.165;193.170.234.138;49756;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49757;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49758;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;10.25.34.165;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;127.0.0.1;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49759;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49760;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49761;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49762;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49763;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49764;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49765;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49766;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49767;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49768;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49769;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49770;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49771;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49772;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49773;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49774;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49775;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;10.25.34.165;239.255.255.250;64082;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;127.0.0.1;239.255.255.250;64083;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49776;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49777;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;UDP;::1;ff02::c;63382;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49778;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49779;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;TCP;10.25.34.165;20.82.207.122;49780;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;UDP;10.25.34.165;193.170.234.183;63325;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;TCP;10.25.34.165;193.170.234.138;49781;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;TCP;10.25.34.165;51.105.236.244;49782;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;TCP;10.25.34.165;51.105.236.244;49783;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;TCP;10.25.34.165;51.105.236.244;49784;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;TCP;10.25.34.165;20.82.207.122;49785;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;ALLOW;UDP;10.25.34.165;193.170.234.183;60895;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:16;DROP;TCP;10.25.34.165;51.105.236.244;49786;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;TCP;10.25.34.165;51.105.236.244;49787;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:16;DROP;TCP;10.25.34.165;51.105.236.244;49788;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:17;ALLOW;TCP;10.25.34.165;193.170.234.138;49789;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:17;ALLOW;TCP;10.25.34.165;193.170.234.138;49790;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:17;DROP;TCP;10.25.34.165;10.25.34.201;49791;3911;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:17;ALLOW;TCP;10.25.34.165;193.170.234.138;49793;135;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:17;DROP;TCP;10.25.34.165;193.170.234.138;49794;49672;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:17;DROP;TCP;10.25.34.165;193.170.234.138;49795;49672;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:17;DROP;UDP;10.25.34.165;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:17;DROP;UDP;127.0.0.1;239.255.255.250;63381;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.165;193.170.234.138;49796;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.165;193.170.234.138;49797;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.165;193.170.234.138;49798;445;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.165;20.190.159.133;49799;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:18;DROP;UDP;::1;ff02::c;63382;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:18;ALLOW;TCP;10.25.34.165;193.170.234.138;49800;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:19;ALLOW;TCP;10.25.34.165;193.170.234.138;49801;389;0;-;0;0;0;-;-;-;SEND
