Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:13:55;ALLOW;UDP;10.25.34.163;224.0.0.251;5353;5353;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:55;ALLOW;UDP;10.25.34.163;224.0.0.252;51267;5355;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:55;DROP;UDP;10.25.34.161;239.255.255.250;60494;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:55;DROP;UDP;127.0.0.1;239.255.255.250;60495;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:56;ALLOW;UDP;10.25.34.161;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:57;DROP;UDP;::1;ff02::c;60493;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:57;DROP;UDP;10.25.34.161;239.255.255.250;60494;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:57;DROP;UDP;127.0.0.1;239.255.255.250;60495;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:57;DROP;UDP;::1;ff02::c;60493;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:57;DROP;UDP;10.25.34.161;239.255.255.250;60494;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:57;DROP;UDP;127.0.0.1;239.255.255.250;60495;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:57;ALLOW;TCP;10.25.34.161;193.170.234.138;49719;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:57;ALLOW;TCP;10.25.34.161;193.170.234.138;49720;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:57;ALLOW;TCP;10.25.34.161;193.170.234.138;49721;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:57;ALLOW;TCP;10.25.34.161;193.170.234.138;49722;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:57;DROP;UDP;10.25.34.161;239.255.255.250;60494;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:57;DROP;UDP;127.0.0.1;239.255.255.250;60495;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:57;ALLOW;TCP;10.25.34.161;193.170.234.138;49723;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:58;DROP;UDP;10.25.34.161;239.255.255.250;60494;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:58;DROP;UDP;127.0.0.1;239.255.255.250;60495;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;::1;ff02::c;56925;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;10.25.34.161;239.255.255.250;56924;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;127.0.0.1;239.255.255.250;56924;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;ALLOW;UDP;10.25.34.161;193.170.234.138;56926;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;ALLOW;UDP;10.25.34.161;193.170.234.138;56927;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;ALLOW;TCP;10.25.34.161;193.170.234.138;49724;49670;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;::1;ff02::c;56925;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;ALLOW;TCP;10.25.34.161;193.170.234.138;49725;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:59;ALLOW;TCP;10.25.34.161;193.170.234.138;49726;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;10.25.34.161;239.255.255.250;56924;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;127.0.0.1;239.255.255.250;56924;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;::1;ff02::c;56925;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;ALLOW;TCP;10.25.34.161;193.170.234.138;49727;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;10.25.34.161;239.255.255.250;56924;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:59;DROP;UDP;127.0.0.1;239.255.255.250;56924;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:00;ALLOW;TCP;10.25.34.161;193.170.234.138;49728;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:00;DROP;UDP;::1;ff02::c;56925;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:00;ALLOW;TCP;10.25.34.161;193.170.234.138;49729;389;0;-;0;0;0;-;-;-;SEND
