Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:13:46;DROP;UDP;10.25.34.133;239.255.255.250;64448;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;127.0.0.1;239.255.255.250;64449;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;::1;ff02::c;64447;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;10.25.34.133;239.255.255.250;64448;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;127.0.0.1;239.255.255.250;64449;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;::1;ff02::c;64447;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;10.25.34.133;239.255.255.250;64448;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;127.0.0.1;239.255.255.250;64449;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;10.25.34.133;239.255.255.250;64448;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;DROP;UDP;127.0.0.1;239.255.255.250;64449;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:46;ALLOW;UDP;10.25.34.133;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:47;ALLOW;TCP;10.25.34.133;193.170.234.138;49707;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:47;ALLOW;TCP;10.25.34.133;193.170.234.138;49708;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:47;ALLOW;TCP;10.25.34.133;193.170.234.138;49709;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:47;ALLOW;TCP;10.25.34.133;193.170.234.138;49710;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:47;ALLOW;TCP;10.25.34.133;193.170.234.138;49711;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;10.25.34.133;239.255.255.250;64448;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;127.0.0.1;239.255.255.250;64449;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;ALLOW;UDP;10.25.34.133;193.170.234.138;55299;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;ALLOW;UDP;10.25.34.133;193.170.234.138;55300;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;ALLOW;TCP;10.25.34.133;193.170.234.138;49712;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;::1;ff02::c;55302;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;10.25.34.133;239.255.255.250;55301;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;127.0.0.1;239.255.255.250;55301;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;ALLOW;TCP;10.25.34.133;193.170.234.138;49713;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:49;ALLOW;TCP;10.25.34.133;193.170.234.138;49714;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;::1;ff02::c;55302;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;10.25.34.133;239.255.255.250;55301;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;127.0.0.1;239.255.255.250;55301;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:49;DROP;UDP;::1;ff02::c;55302;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;DROP;UDP;10.25.34.133;239.255.255.250;55301;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;DROP;UDP;127.0.0.1;239.255.255.250;55301;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;DROP;UDP;::1;ff02::c;55302;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;193.170.234.138;49715;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;193.170.234.138;49716;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;193.170.234.138;49717;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;193.170.234.138;49718;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;UDP;10.25.34.133;193.170.234.182;60553;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;UDP;10.25.34.133;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;51.104.164.114;49719;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:50;DROP;UDP;10.25.34.133;239.255.255.250;55301;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;DROP;UDP;127.0.0.1;239.255.255.250;55301;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;UDP;10.25.34.133;193.170.234.182;51770;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;UDP;10.25.34.133;92.123.24.119;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;92.123.24.119;49720;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;193.170.234.138;49721;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;193.170.234.138;49722;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:50;ALLOW;TCP;10.25.34.133;193.170.234.138;49723;88;0;-;0;0;0;-;-;-;SEND
