Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:13:41;DROP;UDP;10.25.34.124;239.255.255.250;61156;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;127.0.0.1;239.255.255.250;61157;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;::1;ff02::c;61155;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;ALLOW;UDP;10.25.34.124;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:41;DROP;UDP;10.25.34.124;239.255.255.250;61156;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;127.0.0.1;239.255.255.250;61157;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;::1;ff02::c;61155;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;10.25.34.124;239.255.255.250;61156;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;127.0.0.1;239.255.255.250;61157;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;10.25.34.124;239.255.255.250;61156;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:41;DROP;UDP;127.0.0.1;239.255.255.250;61157;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.124;193.170.234.138;49727;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.124;193.170.234.138;49728;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.124;193.170.234.138;49729;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.124;193.170.234.138;49730;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:42;ALLOW;TCP;10.25.34.124;193.170.234.138;49731;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:43;DROP;UDP;::1;ff02::c;57404;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:43;DROP;UDP;10.25.34.124;239.255.255.250;57403;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:43;DROP;UDP;127.0.0.1;239.255.255.250;57403;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:43;DROP;UDP;::1;ff02::c;57404;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:43;DROP;UDP;10.25.34.124;239.255.255.250;57403;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:43;DROP;UDP;127.0.0.1;239.255.255.250;57403;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;DROP;UDP;::1;ff02::c;57404;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;DROP;UDP;10.25.34.124;239.255.255.250;57403;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;DROP;UDP;127.0.0.1;239.255.255.250;57403;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;DROP;UDP;10.25.34.124;239.255.255.250;61156;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;DROP;UDP;127.0.0.1;239.255.255.250;61157;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;ALLOW;UDP;10.25.34.124;193.170.234.138;57405;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;ALLOW;UDP;10.25.34.124;193.170.234.138;57406;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;ALLOW;TCP;10.25.34.124;193.170.234.138;49732;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:44;ALLOW;TCP;10.25.34.124;193.170.234.138;49733;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:44;DROP;UDP;::1;ff02::c;57404;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;DROP;UDP;10.25.34.124;239.255.255.250;57403;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;DROP;UDP;127.0.0.1;239.255.255.250;57403;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:44;ALLOW;TCP;10.25.34.124;193.170.234.138;49734;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;TCP;10.25.34.124;193.170.234.138;49735;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;TCP;10.25.34.124;193.170.234.138;49736;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;TCP;10.25.34.124;193.170.234.138;49737;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;TCP;10.25.34.124;193.170.234.138;49738;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;UDP;10.25.34.124;193.170.234.182;55203;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;UDP;10.25.34.124;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;TCP;10.25.34.124;51.104.164.114;49739;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;TCP;10.25.34.124;193.170.234.138;49740;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:45;ALLOW;TCP;10.25.34.124;193.170.234.138;49741;88;0;-;0;0;0;-;-;-;SEND
