Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:12:38;DROP;UDP;10.25.34.132;239.255.255.250;51462;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:38;DROP;UDP;127.0.0.1;239.255.255.250;51462;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:38;DROP;UDP;::1;ff02::c;51463;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:38;ALLOW;UDP;10.25.34.132;193.170.234.182;54529;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:38;ALLOW;UDP;10.25.34.132;20.42.73.26;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:38;ALLOW;TCP;10.25.34.132;20.42.73.26;49737;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:39;ALLOW;UDP;10.25.34.132;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:12:39;DROP;UDP;::1;ff02::c;61623;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;10.25.34.132;239.255.255.250;61624;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;127.0.0.1;239.255.255.250;61625;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;::1;ff02::c;61623;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;10.25.34.132;239.255.255.250;61624;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;127.0.0.1;239.255.255.250;61625;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;10.25.34.132;239.255.255.250;61624;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;127.0.0.1;239.255.255.250;61625;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;10.25.34.132;239.255.255.250;61624;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:39;DROP;UDP;127.0.0.1;239.255.255.250;61625;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:40;ALLOW;TCP;10.25.34.132;193.170.234.138;49738;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:40;ALLOW;TCP;10.25.34.132;193.170.234.138;49739;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:40;ALLOW;TCP;10.25.34.132;193.170.234.138;49740;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:40;ALLOW;TCP;10.25.34.132;193.170.234.138;49741;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:40;ALLOW;TCP;10.25.34.132;193.170.234.138;49742;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:42;ALLOW;UDP;10.25.34.132;193.170.234.138;54531;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;ALLOW;UDP;10.25.34.132;193.170.234.138;54532;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;::1;ff02::c;54534;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;10.25.34.132;239.255.255.250;54533;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;127.0.0.1;239.255.255.250;54533;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;ALLOW;TCP;10.25.34.132;193.170.234.138;49743;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:42;ALLOW;TCP;10.25.34.132;193.170.234.138;49744;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;::1;ff02::c;54534;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;ALLOW;TCP;10.25.34.132;193.170.234.138;49745;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;10.25.34.132;239.255.255.250;54533;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;127.0.0.1;239.255.255.250;54533;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;::1;ff02::c;54534;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;10.25.34.132;239.255.255.250;61624;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;127.0.0.1;239.255.255.250;61625;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;10.25.34.132;239.255.255.250;54533;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;DROP;UDP;127.0.0.1;239.255.255.250;54533;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:42;ALLOW;TCP;10.25.34.132;193.170.234.138;49746;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:42;ALLOW;TCP;10.25.34.132;193.170.234.138;49747;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49748;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49749;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;UDP;10.25.34.132;193.170.234.182;56277;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;UDP;10.25.34.132;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;DROP;UDP;::1;ff02::c;54534;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;51.104.164.114;49750;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49751;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49752;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49753;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;UDP;10.25.34.132;193.170.234.182;52052;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;UDP;10.25.34.132;92.123.24.119;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;92.123.24.119;49754;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49755;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;UDP;10.25.34.132;193.170.234.182;55722;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49756;445;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49757;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49759;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;92.123.24.119;49758;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;UDP;10.25.34.132;193.170.234.182;65119;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;92.123.24.119;49760;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;TCP;10.25.34.132;193.170.234.138;49761;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:43;ALLOW;UDP;10.25.34.132;193.170.234.138;123;123;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;DROP;UDP;10.25.34.132;239.255.255.250;54533;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:43;DROP;UDP;127.0.0.1;239.255.255.250;54533;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:44;ALLOW;TCP;10.25.34.132;193.170.234.138;49762;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:44;ALLOW;TCP;10.25.34.132;193.170.234.138;49763;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:12:44;ALLOW;UDP;10.25.34.132;193.170.234.182;61011;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:12:44;DROP;UDP;::1;ff02::c;54534;3702;0;-;-;-;-;-;-;-;SEND
