Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:13:26;ALLOW;TCP;10.25.34.141;193.170.234.138;49729;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:26;ALLOW;TCP;10.25.34.141;193.170.234.138;49730;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:26;ALLOW;TCP;10.25.34.141;193.170.234.138;49731;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:26;ALLOW;TCP;10.25.34.141;193.170.234.138;49732;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:26;ALLOW;TCP;10.25.34.141;193.170.234.138;49733;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:27;ALLOW;UDP;10.25.34.122;224.0.0.252;50382;5355;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:13:27;DROP;UDP;::1;ff02::c;53087;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:27;DROP;UDP;10.25.34.141;239.255.255.250;53088;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:27;DROP;UDP;127.0.0.1;239.255.255.250;53089;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:27;DROP;UDP;::1;ff02::c;53087;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:27;DROP;UDP;10.25.34.141;239.255.255.250;53088;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:27;DROP;UDP;127.0.0.1;239.255.255.250;53089;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:27;DROP;UDP;10.25.34.141;239.255.255.250;53088;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:27;DROP;UDP;127.0.0.1;239.255.255.250;53089;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;DROP;UDP;10.25.34.141;239.255.255.250;53088;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;DROP;UDP;127.0.0.1;239.255.255.250;53089;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;ALLOW;UDP;10.25.34.141;193.170.234.138;51338;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;ALLOW;UDP;10.25.34.141;193.170.234.138;51339;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;ALLOW;TCP;10.25.34.141;193.170.234.138;49734;49670;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:28;ALLOW;TCP;10.25.34.141;193.170.234.138;49735;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:28;DROP;UDP;::1;ff02::c;51341;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;DROP;UDP;10.25.34.141;239.255.255.250;51340;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;DROP;UDP;127.0.0.1;239.255.255.250;51340;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;ALLOW;TCP;10.25.34.141;193.170.234.138;49736;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:28;ALLOW;TCP;10.25.34.141;193.170.234.138;49737;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:28;DROP;UDP;::1;ff02::c;51341;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;DROP;UDP;10.25.34.141;239.255.255.250;51340;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:28;DROP;UDP;127.0.0.1;239.255.255.250;51340;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;DROP;UDP;::1;ff02::c;51341;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49738;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49739;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49740;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49741;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;DROP;UDP;10.25.34.141;239.255.255.250;51340;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;DROP;UDP;127.0.0.1;239.255.255.250;51340;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;DROP;UDP;::1;ff02::c;51341;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;UDP;10.25.34.141;193.170.234.182;49377;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;UDP;10.25.34.141;51.104.164.114;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;51.104.164.114;49742;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49743;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;UDP;10.25.34.141;193.170.234.182;56251;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49745;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;UDP;10.25.34.141;92.123.24.119;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;92.123.24.119;49744;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49746;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;UDP;10.25.34.141;193.170.234.182;62326;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;92.123.24.119;49747;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49748;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49749;445;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49750;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;193.170.234.138;49751;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;UDP;10.25.34.141;193.170.234.182;61929;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:29;ALLOW;TCP;10.25.34.141;92.123.24.119;49752;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;TCP;10.25.34.141;193.170.234.138;49753;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;UDP;10.25.34.141;193.170.234.138;123;123;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;UDP;10.25.34.141;193.170.234.183;61265;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;TCP;10.25.34.141;193.170.234.198;49754;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;TCP;10.25.34.141;193.170.234.198;49755;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;TCP;10.25.34.141;193.170.234.198;49756;1688;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;UDP;10.25.34.141;193.170.234.198;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:30;DROP;UDP;::1;ff02::c;51341;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;TCP;10.25.34.141;193.170.234.138;49757;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:30;ALLOW;TCP;10.25.34.141;193.170.234.138;49758;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:13:30;DROP;UDP;10.25.34.141;239.255.255.250;51340;3702;0;-;-;-;-;-;-;-;SEND
