Time;Action;Protocol;SourceIP;DestinationIP;SourcePort;DestinationPort;PacketSize;TCPFlags;TCPSequenceNumber;TCPAcknowledgementNumber;TCPWindowSize;ICMPType;ICMPCode;ActionMetadata;Path
13.01.2022 08:14:56;DROP;UDP;10.25.34.153;239.255.255.250;60347;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:56;DROP;UDP;127.0.0.1;239.255.255.250;60348;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:57;ALLOW;UDP;10.25.34.153;193.170.234.182;57700;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:57;ALLOW;TCP;10.25.34.153;13.69.239.74;49766;443;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:57;ALLOW;UDP;10.25.34.153;10.25.34.255;137;137;0;-;-;-;-;-;-;-;RECEIVE
13.01.2022 08:14:58;DROP;UDP;::1;ff02::c;60346;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:58;DROP;UDP;10.25.34.153;239.255.255.250;60347;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:58;DROP;UDP;127.0.0.1;239.255.255.250;60348;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:58;DROP;UDP;::1;ff02::c;60346;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:58;DROP;UDP;10.25.34.153;239.255.255.250;60347;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:58;DROP;UDP;127.0.0.1;239.255.255.250;60348;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:58;DROP;UDP;10.25.34.153;239.255.255.250;60347;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:58;DROP;UDP;127.0.0.1;239.255.255.250;60348;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:58;ALLOW;TCP;10.25.34.153;193.170.234.138;49767;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:58;ALLOW;TCP;10.25.34.153;193.170.234.138;49768;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:58;ALLOW;TCP;10.25.34.153;193.170.234.138;49769;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:58;ALLOW;TCP;10.25.34.153;193.170.234.138;49770;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:58;ALLOW;TCP;10.25.34.153;193.170.234.138;49771;88;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:14:59;DROP;UDP;10.25.34.153;239.255.255.250;60347;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:59;DROP;UDP;127.0.0.1;239.255.255.250;60348;1900;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:59;DROP;UDP;::1;ff02::c;57703;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:59;DROP;UDP;10.25.34.153;239.255.255.250;57702;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:59;DROP;UDP;127.0.0.1;239.255.255.250;57702;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:59;DROP;UDP;::1;ff02::c;57703;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:59;DROP;UDP;10.25.34.153;239.255.255.250;57702;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:14:59;DROP;UDP;127.0.0.1;239.255.255.250;57702;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;DROP;UDP;::1;ff02::c;57703;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;DROP;UDP;10.25.34.153;239.255.255.250;57702;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;DROP;UDP;127.0.0.1;239.255.255.250;57702;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;DROP;UDP;::1;ff02::c;57703;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;ALLOW;UDP;10.25.34.153;193.170.234.138;57704;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;ALLOW;UDP;10.25.34.153;193.170.234.138;57705;389;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;ALLOW;TCP;10.25.34.153;193.170.234.138;49772;49670;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:00;DROP;UDP;10.25.34.153;239.255.255.250;57702;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;DROP;UDP;127.0.0.1;239.255.255.250;57702;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:00;ALLOW;TCP;10.25.34.153;193.170.234.138;49773;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:00;ALLOW;TCP;10.25.34.153;193.170.234.138;49774;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:00;ALLOW;TCP;10.25.34.153;193.170.234.138;49775;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:01;ALLOW;TCP;10.25.34.153;193.170.234.138;49776;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:01;ALLOW;TCP;10.25.34.153;193.170.234.138;49777;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:01;ALLOW;TCP;10.25.34.153;193.170.234.138;49778;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:01;ALLOW;TCP;10.25.34.153;193.170.234.138;49779;389;0;-;0;0;0;-;-;-;SEND
13.01.2022 08:15:01;DROP;UDP;::1;ff02::c;57703;3702;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:01;ALLOW;UDP;10.25.34.153;193.170.234.182;61949;53;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:01;ALLOW;UDP;10.25.34.153;52.143.81.222;500;500;0;-;-;-;-;-;-;-;SEND
13.01.2022 08:15:01;ALLOW;TCP;10.25.34.153;193.170.234.138;49781;88;0;-;0;0;0;-;-;-;SEND
